trecho,ocorrencias
AGRIPINA,6495
AGRIPINO,18680
AGUADO,1112
AGUEDA,4211
AGUERA,1221
AGUERO,3566
AGUIAR,574846
AGUIDA,12556
AGUIDO,1017
AGUILA,2064
AGUILAR,31481
AGUILERA,8170
AGUILLAR,1492
AGUIMAR,3935
AGUINALDO,43684
AGUINELO,1345
AGUIRRA,1194
AGUIRRE,11448
AGUSTIN,3123
AGUSTINHA,1548
AGUSTINHO,12039
AGUSTINI,1411
AHMAD,7513
AHMED,3825
AHNERT,1253
AIALA,1573
AIANE,1322
AIDA,17774
AIDAR,1704
AIDE,6783
AIDIL,1887
AIELLO,1744
AIKO,2187
AILA,6947
AILDA,1713
AILDO,1869
AILMA,1349
AILSON,17068
AILTO,2004
AILTON,171224
AILZA,2406
AIME,2396
AIMEE,1835
AIMI,1361
AIR,2259
AIRA,1202
AIRAM,1233
AIRAN,1287
AIRES,91310
AIRON,1568
AIRTO,1910
AIRTON,94185
AISLAN,3763
AITA,1829
AJALA,6176
AJUDA,5710
AKAMINE,1924
AKEMI,10998
AKIKO,3327
AKIO,4386
AKIRA,8853
AKIYAMA,1398
AL,3492
ALA,1360
ALACOQUE,1395
ALADIA,1425
ALADIM,1684
ALADIR,1954
ALAECIO,1007
ALAELSON,1417
ALAERCIO,3171
ALAERTE,1330
ALAIDE,64222
ALAIDES,7471
ALAILSON,3070
ALAILTON,1931
ALAIN,4200
ALAINE,3641
ALAIR,19833
ALAIS,1565
ALAM,2852
ALAMINO,2500
ALAMIR,1671
ALAN,183620
ALANA,42336
ALANDERSON,1648
ALANE,11354
ALANIS,2013
ALANNA,4525
ALANO,5434
ALANY,1565
ALAOR,12218
ALARCAO,2188
ALARCON,6045
ALARICO,1906
ALAX,1079
ALAYDE,7946
ALBA,29253
ALBAN,1328
ALBANEZ,2171
ALBANI,5388
ALBANIR,1048
ALBANISA,1195
ALBANITA,1454
ALBANIZA,2811
ALBANO,31813
ALBARADO,1108
ALBARELLO,1477
ALBARI,1305
ALBERES,1998
ALBERGARIA,3385
ALBERI,5392
ALBERICO,9142
ALBERIO,1061
ALBERNAZ,9249
ALBERT,16503
ALBERTA,2250
ALBERTH,1186
ALBERTI,9096
ALBERTIN,1424
ALBERTINA,56145
ALBERTINI,4134
ALBERTINO,24472
ALBERTO,683996
ALBERTON,5306
ALBERTONI,1498
ALBETIZA,1384
ALBIERI,1940
ALBIERO,1715
ALBINA,15309
ALBINI,1058
ALBINO,115374
ALBRECHT,5814
ALBUQUERQUE,387923
ALCALA,1725
ALCALDE,1288
ALCANTARA,221010
ALCANTRA,1466
ALCARA,1058
ALCARAZ,1734
ALCEBIADES,14600
ALCEMAR,2632
